"SAMPLE.1"	"SAMPLE.2"	"SAMPLE.3"	"SAMPLE.4"	"SAMPLE.5"
"cg12350325"	0.0649599725129793	0.564225293652992	0.063037569853219	0.301012583573397	0.0464841445426466
"cg22708630"	0.253575020445228	0.470219274732587	0.119832429735091	0.434008004451197	0.167265225077378
"cg08687540"	0.297773866823911	0.884288459498169	0.850938519540197	0.928930863776638	0.86990380868425
"cg17229371"	0.886173164668868	0.871510403001302	0.895635706177309	0.888860799041259	0.90120315822474
"cg25131632"	0.967536275926562	0.924452347359854	0.996675248264622	0.938094270912794	0.984914368331966
"cg05433111"	0.904432093787202	0.836705357582914	0.833043212220793	0.882640343829323	0.885869434014523
"cg15174682"	0.516371678187068	0.828167949015408	0.473366801484477	0.804030093829706	0.524258718359897
"cg27565966"	0.85938221539448	0.814877121129257	0.920030002139329	0.837420064828503	0.810270134104086
"cg02212339"	0.986265048443646	0.903339711998321	0.997679641586432	0.974842177127781	0.971030084361922
"cg08743794"	0.708152324789158	0.772408569862837	0.751425707801096	0.76126455436239	0.779106229384902
"cg08447520"	0.883110124418048	0.87664738941173	0.860324885478835	0.902584880684057	0.873853621205376
"cg05350607"	0.154739976258443	0.876998272966732	0.784090989136128	0.887882482707195	0.888519354651321
"cg16787199"	0.872564182525093	0.877331516946706	0.376842226273421	0.806659467254966	0.855819891498507
"cg18452449"	0.803168698917587	0.562428051199422	0.37812316249082	0.777047248849245	0.15036031499323
"cg21494075"	0.892062475560513	0.880681011931915	0.922056144960629	0.881584044373254	0.881756788691518
"cg04583842"	0.888639766278818	0.780803646253057	0.893574412099281	0.853617463278959	0.882391633652106
"cg16148346"	0.633536665313855	0.888375738499508	0.881194602463415	0.592103279159806	0.678528716376787
"cg20666585"	0.8516221397271	0.885017031287172	0.817613360825761	0.847636480792689	0.884799148976062
"cg10147394"	0.874770908107655	0.865436170059801	0.873131627971043	0.877316866150171	0.714378976700999
"cg14283140"	0.907734598701629	0.817859039899502	0.849068147732107	0.901421823913595	0.455936679584881
"cg26583584"	0.372252611978601	0.63439721578606	0.235201312634612	0.383175939074331	0.387248681586372
"cg25683989"	0.908700822344831	0.952141355018271	0.860526805936913	0.926762865557058	0.734626207581204
"cg26004235"	0.88751249544446	0.807625228005023	0.850752180713311	0.818991706113737	0.871464311219585
"cg07698804"	0.328387187541107	0.923036460997507	0.863179289164778	0.952966266013762	0.869336260493797
"cg10762511"	0.510141017929627	0.815379338282708	0.9287129705804	0.819718410735487	0.887351520840734
"cg08373904"	0.895692084210068	0.870209751768636	0.958124514528288	0.896254555891639	0.920288541801253
"cg04576021"	0.944388082951716	0.838548589250336	0.92385010074524	0.891357017363525	0.854754795265928
"cg18590995"	0.700526197722903	0.80013375521181	0.818767282321573	0.843894418124433	0.804812118290367
"cg03324175"	0.434180840035582	0.833683638168131	0.68889750828705	0.819414297661342	0.789495432709579
"cg12095353"	0.632937808344487	0.820401427534944	0.854345795372936	0.863094615349981	0.810924574541614
"cg06889975"	0.589875578710641	0.798850382690373	0.659836614190403	0.751544787736853	0.582793009085941
"cg09197279"	0.609461284692028	0.740405665784924	0.681519692197568	0.66165126629141	0.441843678638626
"cg23953820"	0.740767670770505	0.785317478958996	0.432757663466474	0.882646327795399	0.885076661247816
"cg25087423"	0.421180041177228	0.840989613802049	0.856394511268694	0.777908258382266	0.904041982230866
"cg02095334"	0.882589053254771	0.825604273952806	0.872396104964051	0.855420509629095	0.883101175074194
"cg22281206"	0.905155395683017	0.87645641321166	0.885991622016587	0.874583325397986	0.836432128056439
"cg17774764"	0.413978950203222	0.80804282261339	0.795936785300923	0.791516119293937	0.791003118247297
"cg17995557"	0.960758137506226	0.969242309640249	0.9693555996266	0.922767030538641	0.899791658689202
"cg26552743"	0.776645008020374	0.726407555396694	0.858925024107696	0.532048145576003	0.674874233710115
"cg25304198"	0.88952532332834	0.64960354291513	0.590571813911384	0.794419078025261	0.807729370011384
"cg07618110"	0.296590969993907	0.590432974578171	0.728931505979191	0.39416229760536	0.153240057105831
"cg02673107"	0.843932375822165	0.614563343717702	0.73457969999599	0.80616882930308	0.837045917712939
"cg05579731"	0.440298723643732	0.602604007059642	0.725143627301151	0.502074216706373	0.509897130930661
"cg07721872"	0.915918520595526	0.944114330748429	0.915486261912904	0.92291590527191	0.961076294588219
"cg18495884"	0.885646871087932	0.849045950561372	0.900678914991548	0.846648037682407	0.861470600608317
"cg12103569"	0.471195402636137	0.702758624784945	0.694752217324265	0.77888381185016	0.517481543660452
"cg12976793"	0.218459670807883	0.513240914407416	0.243772912139526	0.717397758063997	0.263079019968239
"cg06288355"	0.659743782210287	0.792696959463585	0.686959717285392	0.643708293761701	0.743449939761131
"cg19882315"	0.445149585137276	0.832713729682028	0.762997509722972	0.829255433700681	0.127524535414915
"cg17232476"	0.90181661001318	0.895676853316383	0.927361181035266	0.895854317130594	0.920825684665963
"cg24045212"	0.838914180488323	0.812924108585418	0.874779131817774	0.825186988032819	0.364671729160529
"cg12126686"	0.632407846262949	0.31501128091626	0.0262092328866795	0.561771234641097	0.162408763877169
"cg02053451"	0.664572319770516	0.865350287887168	0.86929090850212	0.845617968151747	0.862129079457136
"cg04264560"	0.459924720882074	0.493743186074167	0.475291043607481	0.316958439969432	0.177263931871979
"cg16396223"	0.772506591977384	0.881829655309097	0.831670505523183	0.877678064682257	0.78837703825561
"cg09469986"	0.61616662304282	0.925978100516982	0.884743049650227	0.90225693940216	0.895453554569563
"cg12772932"	0.934480659327455	0.489704848645398	0.378287208542026	0.897122866324928	0.901171058468677
"cg17382048"	0.790767122355015	0.939056192349524	0.793908403832515	0.963629005831606	0.650868912758743
"cg26164712"	0.337164965046191	0.679887818649658	0.682301318911149	0.638383955455598	0.35408459318775
"cg22212560"	0.857417520961703	0.864816387500476	0.977564320827987	0.919132355032111	0.852132898433131
"cg08289350"	0.638484091369926	0.83242892471377	0.937527932439887	0.913041590788892	0.911565934904221
"cg12593411"	0.52480538615826	0.688295888539355	0.706958439332391	0.518993502800402	0.672887821777341
"cg01869288"	0.812420088758781	0.781604187950058	0.583267766924204	0.712731894390523	0.871903247207487
"cg05891759"	0.864129307517736	0.834737431032284	0.853872121457409	0.860675752204505	0.511361545443111
"cg08255481"	0.839228236078909	0.836650992432928	0.890609394812288	0.85325052289104	0.836220084552603
"cg17254229"	0.713144032289752	0.819928005520909	0.813681480419553	0.763592347602454	0.710936318783726
"cg11375112"	0.92287693594572	0.985097948717195	0.875577665756839	0.953675437031329	0.909825321999499
