"id" "cell"
"cg12350325" "cg12350325" "Astrocyte"
"cg22708630" "cg22708630" "Astrocyte"
"cg08687540" "cg08687540" "Bcells"
"cg17229371" "cg17229371" "Bcells"
"cg25131632" "cg25131632" "Bcells"
"cg05433111" "cg05433111" "Bcells"
"cg15174682" "cg15174682" "Bcells"
"cg27565966" "cg27565966" "Bcells"
"cg02212339" "cg02212339" "Bcells"
"cg08743794" "cg08743794" "Bcells"
"cg08447520" "cg08447520" "Bcells"
"cg05350607" "cg05350607" "Bcells"
"cg16787199" "cg16787199" "Bcells"
"cg18452449" "cg18452449" "Bcells"
"cg21494075" "cg21494075" "Bcells"
"cg04583842" "cg04583842" "Bcells"
"cg16148346" "cg16148346" "Bcells"
"cg20666585" "cg20666585" "Bcells"
"cg10147394" "cg10147394" "Bcells"
"cg14283140" "cg14283140" "Bcells"
"cg26583584" "cg26583584" "Bcells"
"cg25683989" "cg25683989" "Bcells"
"cg26004235" "cg26004235" "Bcells"
"cg07698804" "cg07698804" "Bcells"
"cg10762511" "cg10762511" "Bcells"
"cg08373904" "cg08373904" "Bcells"
"cg04576021" "cg04576021" "Bcells"
"cg18590995" "cg18590995" "Bcells"
"cg03324175" "cg03324175" "Bcells"
"cg12095353" "cg12095353" "Bcells"
"cg06889975" "cg06889975" "Bcells"
"cg09197279" "cg09197279" "Bcells"
"cg23953820" "cg23953820" "Bcells"
"cg25087423" "cg25087423" "Bcells"
"cg02095334" "cg02095334" "Bcells"
"cg22281206" "cg22281206" "Bcells"
"cg17774764" "cg17774764" "Bcells"
"cg17995557" "cg17995557" "Bcells"
"cg26552743" "cg26552743" "Bcells"
"cg25304198" "cg25304198" "Bcells"
"cg07618110" "cg07618110" "Bcells"
"cg02673107" "cg02673107" "Bcells"
"cg05579731" "cg05579731" "Bcells"
"cg07721872" "cg07721872" "Bcells"
"cg18495884" "cg18495884" "Bcells"
"cg12103569" "cg12103569" "Bcells"
"cg12976793" "cg12976793" "Bcells"
"cg06288355" "cg06288355" "Bcells"
"cg19882315" "cg19882315" "Bcells"
"cg17232476" "cg17232476" "Bcells"
"cg24045212" "cg24045212" "Bcells"
"cg12126686" "cg12126686" "Bcells"
"cg02053451" "cg02053451" "Bcells"
"cg04264560" "cg04264560" "Bcells"
"cg16396223" "cg16396223" "Bcells"
"cg09469986" "cg09469986" "Bcells"
"cg12772932" "cg12772932" "Bcells"
"cg17382048" "cg17382048" "Bcells"
"cg26164712" "cg26164712" "Bcells"
"cg22212560" "cg22212560" "Bcells"
"cg08289350" "cg08289350" "Bcells"
